week_year,Vaccine Efficacy/Side Effects,Testing,Government Policy/Response,Disease Severity,Conspiracies,Alternative Treatments/Prevention
2020-03,0,0,0,0,0,0
2020-04,0,0,0,0,1,0
2020-05,0,0,0,0,0,0
2020-06,0,0,0,0,0,0
2020-07,0,0,0,0,0,0
2020-08,0,0,0,0,0,0
2020-09,0,0,0,0,0,0
2020-10,0,0,0,0,1,0
2020-11,0,0,0,0,0,1
2020-12,0,0,0,1,1,0
2020-13,0,0,0,0,0,1
2020-14,0,0,0,0,0,1
2020-15,0,0,0,1,0,0
2020-16,0,0,0,0,0,0
2020-17,0,0,0,1,1,1
2020-18,1,0,0,0,0,2
2020-19,0,0,0,1,0,1
2020-20,0,0,2,0,0,0
2020-21,0,0,1,3,0,0
2020-22,0,0,0,0,2,0
2020-23,0,0,0,0,0,0
2020-24,0,0,0,0,0,1
2020-25,0,0,0,0,0,0
2020-26,0,0,0,1,0,2
2020-27,0,2,0,3,0,7
2020-28,0,0,0,1,0,5
2020-29,0,0,0,3,0,6
2020-30,0,0,0,2,0,11
2020-31,0,0,0,0,0,24
2020-32,1,0,0,3,1,15
2020-33,0,0,0,2,0,8
2020-34,1,0,0,0,0,3
2020-35,0,0,0,0,0,8
2020-36,0,0,0,2,0,3
2020-37,0,0,0,1,0,1
2020-38,0,0,0,0,0,0
2020-39,0,0,0,1,0,2
2020-40,0,0,0,2,2,8
2020-41,0,0,0,0,1,0
2020-42,0,0,0,0,0,0
2020-43,0,0,0,0,1,1
2020-44,0,0,0,0,0,1
2020-45,0,0,0,0,0,1
2020-46,0,0,0,0,0,3
2020-47,0,0,0,1,1,3
2020-48,0,0,0,0,0,1
2020-49,0,0,0,0,0,2
2020-50,1,0,1,1,1,2
2020-51,0,1,0,1,1,7
2020-52,0,1,0,0,1,4
2021-01,0,0,1,0,1,4
2021-02,0,0,0,0,0,1
2021-03,0,0,0,0,0,1
2021-04,0,0,0,0,1,0
2021-05,0,0,0,0,0,2
2021-06,0,0,0,0,1,3
2021-07,2,0,0,0,0,1
2021-08,0,0,0,1,2,2
2021-09,0,0,0,0,4,2
2021-10,1,0,0,0,1,6
2021-11,1,0,0,2,1,2
2021-12,1,0,0,0,2,4
2021-13,0,0,1,0,0,5
2021-14,0,0,0,0,2,2
2021-15,0,0,0,0,2,3
2021-16,1,0,2,0,0,5
2021-17,1,0,0,0,1,3
2021-18,0,0,0,0,1,3
2021-19,2,0,0,0,0,3
2021-20,2,0,0,0,1,3
2021-21,0,0,0,1,1,6
2021-22,0,0,0,1,4,8
2021-23,0,0,0,0,10,11
2021-24,0,0,0,0,4,6
2021-25,3,0,0,1,3,8
2021-26,1,0,2,0,4,4
2021-27,0,0,0,1,2,4
2021-28,1,0,0,0,3,4
2021-29,2,0,0,0,3,3
2021-30,3,0,1,1,4,10
2021-31,2,0,1,0,3,11
2021-32,3,0,3,0,0,8
2021-33,2,0,1,0,1,1
2021-34,3,0,2,0,0,6
2021-35,1,0,0,0,1,6
2021-36,1,0,3,0,1,7
2021-37,1,0,0,1,0,5
2021-38,4,0,4,0,1,5
2021-39,2,0,1,0,1,5
2021-40,1,0,0,2,2,4
2021-41,2,0,2,2,0,6
2021-42,1,0,2,0,1,2
2021-43,3,0,1,1,0,3
2021-44,1,0,0,1,2,2
2021-45,2,0,0,0,3,3
2021-46,2,0,2,0,1,1
2021-47,2,0,1,0,3,3
2021-48,6,0,0,2,1,9
2021-49,3,0,3,0,1,6
2021-50,0,0,1,0,1,5
2021-51,4,0,2,0,2,7
2021-52,1,0,0,3,0,12
2022-01,8,0,0,3,2,4
2022-02,2,0,1,1,0,3
2022-03,1,0,0,0,0,1