week_year,Alternative Treatments/Prevention,Conspiracies,Disease Severity,Government Policy/Response,Testing,Vaccine Efficacy/Side Effects
2020-03,0,0,0,0,0,0
2020-04,0,1,0,0,0,0
2020-05,0,0,0,0,0,0
2020-06,0,0,0,0,0,0
2020-07,0,0,0,0,0,0
2020-08,0,0,0,0,0,0
2020-09,0,0,0,0,0,0
2020-10,0,1,0,0,0,0
2020-11,1,0,0,0,0,0
2020-12,0,1,1,0,0,0
2020-13,1,0,0,0,0,0
2020-14,1,0,0,0,0,0
2020-15,0,0,1,0,0,0
2020-16,0,0,0,0,0,0
2020-17,1,1,1,0,0,0
2020-18,2,0,0,0,0,1
2020-19,1,0,1,0,0,0
2020-20,0,0,0,2,0,0
2020-21,0,0,3,1,0,0
2020-22,0,2,0,0,0,0
2020-23,0,0,0,0,0,0
2020-24,1,0,0,0,0,0
2020-25,0,0,0,0,0,0
2020-26,2,0,1,0,0,0
2020-27,7,0,3,0,2,0
2020-28,5,0,1,0,0,0
2020-29,6,0,3,0,0,0
2020-30,11,0,2,0,0,0
2020-31,24,0,0,0,0,0
2020-32,15,1,3,0,0,1
2020-33,8,0,2,0,0,0
2020-34,3,0,0,0,0,1
2020-35,8,0,0,0,0,0
2020-36,3,0,2,0,0,0
2020-37,1,0,1,0,0,0
2020-38,0,0,0,0,0,0
2020-39,2,0,1,0,0,0
2020-40,8,2,2,0,0,0
2020-41,0,1,0,0,0,0
2020-42,0,0,0,0,0,0
2020-43,1,1,0,0,0,0
2020-44,1,0,0,0,0,0
2020-45,1,0,0,0,0,0
2020-46,3,0,0,0,0,0
2020-47,3,1,1,0,0,0
2020-48,1,0,0,0,0,0
2020-49,2,0,0,0,0,0
2020-50,2,1,1,1,0,1
2020-51,7,1,1,0,1,0
2020-52,4,1,0,0,1,0
2021-01,4,1,0,1,0,0
2021-02,1,0,0,0,0,0
2021-03,1,0,0,0,0,0
2021-04,0,1,0,0,0,0
2021-05,2,0,0,0,0,0
2021-06,3,1,0,0,0,0
2021-07,1,0,0,0,0,2
2021-08,2,2,1,0,0,0
2021-09,2,4,0,0,0,0
2021-10,6,1,0,0,0,1
2021-11,2,1,2,0,0,1
2021-12,4,2,0,0,0,1
2021-13,5,0,0,1,0,0
2021-14,2,2,0,0,0,0
2021-15,3,2,0,0,0,0
2021-16,5,0,0,2,0,1
2021-17,3,1,0,0,0,1
2021-18,3,1,0,0,0,0
2021-19,3,0,0,0,0,2
2021-20,3,1,1,0,0,2
2021-21,6,1,1,0,0,0
2021-22,8,4,1,0,0,0
2021-23,11,10,0,0,0,0
2021-24,6,4,0,0,0,0
2021-25,8,3,1,0,0,3
2021-26,4,4,0,2,0,1
2021-27,4,2,1,0,0,0
2021-28,4,3,0,0,0,1
2021-29,3,3,0,0,0,2
2021-30,10,4,1,1,0,3
2021-31,11,3,0,1,0,2
2021-32,8,0,0,3,0,3
2021-33,1,1,0,1,0,2
2021-34,6,0,0,2,0,3
2021-35,6,1,0,0,0,1
2021-36,7,1,0,3,0,1
2021-37,5,0,1,0,0,1
2021-38,5,1,0,4,0,4
2021-39,4,1,0,1,0,2
2021-40,4,2,2,0,0,1
2021-41,6,0,2,2,0,2
2021-42,2,1,0,2,0,1
2021-43,3,0,1,1,0,4
2021-44,2,2,1,0,0,1
2021-45,3,3,0,0,0,1
2021-46,1,1,0,2,0,2
2021-47,3,3,0,1,0,2
2021-48,9,1,2,0,0,6
2021-49,6,1,0,3,0,3
2021-50,5,1,0,1,0,0
2021-51,7,2,0,2,0,4
2021-52,12,0,3,0,0,1
2022-01,4,2,3,0,0,8
2022-02,3,0,1,1,0,2
2022-03,1,0,0,0,0,1