week_year,after_election,date,not_top_100,top_100,total
2020-34,before,2020-34,0,0.02739726,0.011627907
2020-35,before,2020-35,0,0.045977011,0.019230769
2020-36,before,2020-36,0.010526316,0.108108108,0.053254438
2020-37,before,2020-37,0.008403361,0.038461538,0.020304569
2020-38,before,2020-38,0,0.056179775,0.02283105
2020-39,before,2020-39,0.034482759,0.130952381,0.075
2020-40,before,2020-40,0.016806723,0.075268817,0.04245283
2020-41,before,2020-41,0.042735043,0.012195122,0.030150754
2020-42,before,2020-42,0,0.06741573,0.02764977
2020-43,before,2020-43,0,0.034482759,0.013333333
2020-44,before,2020-44,0,0.097560976,0.039408867
2020-45,after,2020-45,0.145454545,0.465909091,0.287878788
2020-46,after,2020-46,0.168141593,0.6,0.359605911
2020-47,after,2020-47,0.09009009,0.556818182,0.296482412
2020-48,after,2020-48,0.076923077,0.527027027,0.278787879
2020-49,after,2020-49,0.111111111,0.617977528,0.330097087
2020-50,after,2020-50,0.113043478,0.511363636,0.285714286
2020-51,after,2020-51,0.087719298,0.433333333,0.240196078
2020-52,after,2020-52,0.0625,0.358208955,0.213740458
2020-53,after,2020-53,0.04,0.565217391,0.291666667
2021-00,after,2021-1,0.084507042,0.462686567,0.268115942